,node,in_degree,out_degree
744,267130082,1,1
745,2009011429,2,2
746,252646633,1,1
747,2009011438,1,1
748,267130099,2,3
749,267130103,2,2
750,2009011446,2,2
751,1163728134,1,1
752,293246223,1,1
753,8852765,2,1
754,177673506,3,3
755,8852775,1,1
756,2599851304,1,1
757,289215798,2,2
758,1644631372,2,2
759,1644631390,1,1
760,21763425,1,1
761,324900220,1,1
762,595330,2,2
763,595332,1,1
764,119510405,1,1
765,279319941,2,3
766,279319945,2,1
767,324900239,1,1
768,320542097,2,2
769,1687066002,1,2
770,595349,1,2
771,3298137505,1,1
772,871601582,3,3
773,289215923,1,1
774,475895219,1,1
775,88905136,1,1
776,249435583,2,2
777,267713,2,1
778,267718,1,2
779,249435592,2,2
780,267723,2,1
781,249435594,2,2
782,249435597,2,1
783,307828174,1,1
784,6033577423,1,1
785,475895247,1,2
786,249435602,1,2
787,475895254,2,2
788,267735,1,1
789,21370328,1,1
790,25531874,2,2
791,15832557,1,1
792,21370352,1,2
793,106370593,1,2
794,106370595,2,2
795,439227942,1,1
796,7057315367,1,1
797,270374439,1,2
798,1520932406,1,1
799,24548926,1,1
800,106370656,2,1
801,278206059,1,1
802,278206065,1,1
803,398976,1,2
804,2735773320,1,2
805,27334283,2,1
806,1221793420,2,2
807,398990,1,2
808,2735773328,1,1
809,398992,2,2
810,399017,1,1
811,399040,2,1
812,281351874,2,1
813,399044,2,2
814,399051,1,1
815,1839044303,2,2
816,399068,1,2
817,1839044317,2,2
818,254482149,1,1
819,27072233,1,2
820,27072234,2,1
821,27367151,1,2
822,1186928368,1,1
823,10786547,1,1
824,27072246,1,1
825,27072248,2,2
826,27072251,1,1
827,27072253,2,2
828,254482188,1,1
829,269326096,2,1
830,196417299,2,1
831,269326100,2,2
832,2342229786,1,1
833,516462365,1,1
834,271423263,1,1
835,256612127,2,1
836,2342229793,1,2
837,256612130,2,2
838,2342229800,2,1
839,196417320,2,2
840,20420418,1,1
841,20420427,2,2
842,20420429,2,1
843,1186928464,1,1
844,399187,3,3
845,399188,3,3
846,196417365,2,1
847,399197,2,2
848,15832933,1,2
849,1439045488,1,1
850,1439045492,1,1
851,399226,3,2
852,399232,1,1
853,82745221,1,2
854,24221575,1,2
855,21731216,2,2
856,355571614,1,2
857,1534039967,2,2
858,355571631,2,1
859,2112493513,1,2
860,2112493519,2,1
861,270800853,1,2
862,291182552,2,2
863,270800860,1,1
864,270800875,2,2
865,2362677235,2,2
866,10786804,1,2
867,2112493561,2,1
868,235513,1,1
869,2362677249,2,2
870,235522,1,1
871,178952201,2,1
872,270800917,1,1
873,2112493591,1,1
874,270800922,2,2
875,2164889641,2,2
876,1833539637,2,1
877,110434360,2,1
878,235576,2,1
879,2164889673,2,2
880,21731409,1,1
881,78551123,2,2
882,21731412,1,1
883,341743702,1,1
884,78551133,1,1
885,178985063,2,2
886,178985066,2,1
887,21043307,1,1
888,25335917,2,1
889,26450037,2,3
890,26450039,2,2
891,21731449,2,2
892,2112493691,2,1
893,310679680,1,2
894,310679689,2,1
895,300718235,2,1
896,25335965,1,2
897,10787004,2,1
898,331487424,2,2
899,178985180,1,2
900,27433192,1,1
901,114661622,2,2
902,25237768,1,2
903,25237781,1,1
904,177674541,2,2
905,180164910,2,1
906,177674543,2,1
907,292788538,1,1
908,17209660,1,1
909,17209661,1,1
910,251828545,1,1
911,17209672,1,2
912,270768460,1,1
913,325818711,2,2
914,1565104481,2,1
915,289216879,1,1
916,610572656,1,1
917,610572655,1,1
918,17209722,1,1
919,252156283,1,2
920,17209725,2,2
921,7027562878,2,1
922,17209731,2,1
923,399748,2,1
924,399763,1,1
925,2057673112,1,2
926,292788635,1,2
927,307501468,2,1
928,536680869,2,2
929,320969127,2,3
930,292788646,2,2
931,536680891,1,1
932,26155459,2,2
933,1090787780,2,2
934,27433416,1,2
935,235977,1,2
936,235979,1,2
937,235980,2,1
938,310155730,2,2
939,2057673182,2,1
940,297507302,1,2
941,297507305,2,2
942,301767159,2,1
943,21764600,1,1
944,21764605,1,2
945,10787329,1,2
946,21764611,2,1
947,10787337,2,1
948,180165140,2,2
949,10787352,1,2
950,343480860,1,1
951,343480862,2,2
952,343480868,2,2
953,319855140,2,3
954,319855142,2,3
955,319855147,1,1
956,1687394860,1,1
957,319855148,2,2
958,1370102318,1,1
959,10787377,2,2
960,319855156,2,2
961,236086,2,1
962,319855160,2,3
963,1687394882,1,1
964,236116,1,1
965,236131,2,1
966,2057673317,1,1
967,236142,1,2
968,236143,2,1
969,3326319219,1,1
970,3668613748,2,2
971,236161,1,1
972,236162,1,1
973,236167,1,1
974,236182,1,2
975,236185,2,1
976,236188,1,2
977,236189,2,1
978,236190,1,2
979,236192,1,1
980,236193,1,1
981,236195,1,1
982,236198,2,1
983,236208,1,2
984,236211,3,3
985,343481012,1,1
986,5905079,2,1
987,236229,2,3
988,236230,3,2
989,236231,2,2
990,236234,1,1
991,5905100,2,1
992,236238,1,1
993,236244,2,2
994,5905109,1,1
995,5905113,2,1
996,2487917276,1,1
997,248552158,1,1
998,248552162,2,2
999,248552164,2,1
1000,5905125,1,2
1001,248552166,1,2
1002,248552167,1,2
1003,5905129,1,2
1004,248552170,2,2
1005,1618156268,1,2
1006,248552174,1,1
1007,1618156278,1,2
1008,21961476,1,1
1009,21961479,2,1
1010,137994,1,1
1011,1085348625,2,2
1012,221518614,2,1
1013,1965398813,1,1
1014,1965398841,1,1
1015,374217530,1,1
1016,154868546,2,1
1017,374217538,1,2
1018,154868564,3,3
1019,38083413,1,1
1020,564059,1,2
1021,564060,2,1
1022,564062,2,1
1023,25074528,2,3
1024,180165473,1,2
1025,564068,1,1
1026,310680421,1,1
1027,310680422,1,2
1028,20421481,1,2
1029,20421482,2,2
1030,310680429,2,1
1031,20421487,2,2
1032,20421488,1,1
1033,20421497,2,1
1034,334732163,1,1
1035,4284980105,2,2
1036,138131,1,1
1037,138136,1,1
1038,564121,1,1
1039,24517533,2,2
1040,564127,1,1
1041,564129,1,1
1042,268573602,1,2
1043,69475235,2,2
1044,24517540,1,2
1045,564134,1,1
1046,564138,1,1
1047,564144,1,1
1048,24517556,2,1
1049,564148,1,1
1050,564156,1,1
1051,25074628,1,1
1052,564169,1,1
1053,2164104142,2,2
1054,564183,1,2
1055,25074650,2,2
1056,25369573,2,2
1057,25369574,2,1
1058,70917097,1,1
1059,138219,1,1
1060,2164104183,1,2
1061,56204304,2,2
1062,56204310,1,1
1063,20913177,2,2
1064,20913179,1,2
1065,3339394076,2,2
1066,281254943,1,1
1067,180395046,2,2
1068,2164104235,2,2
1069,638295114,1,1
1070,638295115,1,1
1071,281254993,2,3
1072,138371,1,1
1073,281353356,1,1
1074,264805517,2,2
1075,249502871,1,2
1076,94641311,2,2
1077,15735989,1,1
1078,25599162,1,1
1079,20913353,1,1
1080,594910438,1,1
1081,177675494,1,2
1082,21306614,1,1
1083,330734844,1,1
1084,247045377,1,1
1085,330734854,2,2
1086,330734858,2,3
1087,374217995,2,1
1088,27434254,2,2
1089,236823,2,1
1090,236827,1,1
1091,310156573,3,2
1092,27434271,1,1
1093,59972898,2,1
1094,236842,1,1
1095,270376234,1,1
1096,59972908,2,2
1097,138546,2,2
1098,138552,1,2
1099,138553,2,1
1100,138554,1,2
1101,177478972,2,1
1102,27434301,2,2
1103,138560,2,1
1104,138561,1,2
1105,138574,2,1
1106,138575,1,2
1107,138578,3,2
1108,319528276,1,1
1109,313400662,3,2
1110,319528278,1,1
1111,319528283,1,1
1112,281353564,1,1
1113,335977827,2,1
1114,59972967,2,1
1115,267820396,1,2
1116,25599346,1,1
1117,21732724,1,2
1118,138620,1,2
1119,105618815,1,2
1120,138627,1,1
1121,253271428,2,2
1122,268803461,1,2
1123,253271431,1,1
1124,21732743,2,1
1125,334667145,1,1
1126,105618828,2,2
1127,272801175,1,1
1128,374218135,1,1
1129,21437847,2,2
1130,21437851,2,2
1131,288103836,2,1
1132,21732797,2,1
1133,251829695,1,2
1134,251829696,2,1
1135,251829697,1,1
1136,251829706,1,1
1137,21732810,1,2
1138,2913115597,1,1
1139,2913115599,1,1
1140,251829717,1,1
1141,3671858647,1,1
1142,21306855,1,1
1143,21306856,1,1
1144,650026485,1,1
1145,21306872,1,2
1146,21732856,1,1
1147,650026493,1,1
1148,268344833,2,1
1149,443489838,2,1
1150,2146213432,2,1
1151,335978042,1,2
1152,273489469,2,2
1153,335978052,2,1
1154,36806213,1,2
1155,1550982726,1,2
1156,481238614,1,2
1157,31497826,2,1
1158,21306988,1,2
1159,335978112,2,1
1160,1448386177,2,2
1161,271687296,1,1
1162,367369867,2,2
1163,564881,1,1
1164,10788504,2,1
1165,1583881888,1,2
1166,1448386210,1,1
1167,10788517,2,1
1168,10788530,2,1
1169,597237437,2,3
1170,1582603971,1,1
1171,3316981454,1,2
1172,3291848437,1,1
1173,20946687,1,2
1174,20946688,2,1
1175,20946691,2,2
1176,177479428,1,2
1177,271425302,1,1
1178,20946725,1,2
1179,20946726,2,1
1180,20946749,1,2
1181,20946750,2,1
1182,20946751,2,1
1183,20946762,2,1
1184,20946763,1,2
1185,21307212,1,2
1186,1685004114,1,2
1187,20946772,1,1
1188,1504124758,2,2
1189,124329836,2,1
1190,124329840,1,2
1191,237437,1,2
1192,237440,2,2
1193,237445,2,3
1194,17211293,1,1
1195,2982682527,1,1
1196,237475,2,1
1197,245145513,1,2
1198,3316981676,2,1
1199,245145522,1,1
1200,245145528,1,2
1201,237501,1,2
1202,428908477,1,1
1203,428908478,1,1
1204,428908480,1,2
1205,428908479,2,1
1206,473604034,1,1
1207,237514,1,1
1208,588029903,2,2
1209,5604941776,1,1
1210,901586897,2,2
1211,3316981716,2,1
1212,237527,1,1
1213,237528,1,1
1214,473604058,2,2
1215,5604941790,1,1
1216,5604941794,1,1
1217,260972524,1,1
1218,237549,2,1
1219,269746172,1,1
1220,142745591,1,2
1221,3218710522,2,2
1222,3316621306,2,2
1223,447750138,2,1
1224,3218710529,2,2
1225,258973699,1,1
1226,447750149,1,2
1227,3316621319,2,2
1228,139273,1,1
1229,473604109,2,2
1230,260972561,1,1
1231,21438480,2,2
1232,17211413,3,2
1233,27467801,2,2
1234,27467802,2,1
1235,592519195,1,1
1236,21438486,2,2
1237,139299,1,2
1238,139300,2,1
1239,139302,2,2
1240,592519206,1,1
1241,139305,1,1
1242,247177258,2,2
1243,1468801070,2,3
1244,1099538478,1,2
1245,247177274,1,1
1246,5301313595,1,1
1247,17211455,2,2
1248,592519236,1,1
1249,592519245,1,1
1250,2039887,1,1
1251,2745180239,1,1
1252,270966868,2,1
1253,590815323,1,1
1254,2263294046,2,1
1255,1099538529,1,2
1256,942055532,2,2
1257,270966894,1,2
1258,2232164468,2,2
1259,139392,1,2
1260,2232164480,2,2
1261,139399,2,1
1262,139407,1,1
1263,17211535,2,1
1264,2989891730,2,2
1265,139417,1,2
1266,123412634,1,1
1267,2181046430,2,3
1268,21733535,3,2
1269,901587105,2,2
1270,21733544,1,1
1271,257728685,1,1
1272,1099538607,1,1
1273,2181046445,2,2
1274,303603889,1,2
1275,21733556,2,2
1276,177643706,2,1
1277,434396,1,2
1278,257728735,1,1
1279,434405,2,1
1280,30744807,1,1
1281,30744808,1,2
1282,30744809,2,1
1283,21307620,1,1
1284,434419,2,1
1285,3779207414,2,1
1286,139514,1,1
1287,3779207419,2,1
1288,434430,1,2
1289,434441,1,1
1290,434442,1,1
1291,5906699,1,2
1292,139533,1,2
1293,139534,2,1
1294,434447,2,1
1295,139542,1,2
1296,59220247,1,1
1297,434456,1,2
1298,139544,2,1
1299,139545,1,2
1300,5906718,2,1
1301,434477,1,2
1302,271393072,2,1
1303,139570,1,1
1304,5906736,2,1
1305,139573,1,1
1306,5906759,2,1
1307,5906761,1,2
1308,434527,1,1
1309,120103264,1,2
1310,120103273,1,2
1311,331096431,2,2
1312,177480052,2,1
1313,331096438,1,1
1314,303604087,2,1
1315,271393172,1,1
1316,434597,2,1
1317,2937201070,1,1
1318,434607,1,2
1319,330113465,1,1
1320,895295949,2,2
1321,20914673,1,2
1322,20914674,1,2
1323,26583544,1,1
1324,4596227,2,1
1325,258941445,1,2
1326,1570972171,1,1
1327,4596236,1,1
1328,517677584,1,1
1329,17211922,1,1
1330,69444117,2,1
1331,15933979,2,1
1332,268411422,2,2
1333,269591071,2,2
1334,374219300,1,1
1335,374219308,2,1
1336,2700419640,1,1
1337,2983043643,1,1
1338,31072833,3,2
1339,31072835,2,2
1340,190751330,1,1
1341,30745189,1,1
1342,21635690,1,2
1343,264053355,1,1
1344,30745198,2,1
1345,2002526846,2,2
1346,300589712,2,3
