TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;vT_MobisSo;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;pSV_MobisSo_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;DL_Ri1;DL_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;Koor_UTM32_E;Koor_UTM32_N;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_t;Q_L1_t;Q_L2_t;Q_K_t;Q_P_n;Q_L1_n;Q_L2_n;Q_K_n;Q_P_a;Q_L1_a;Q_L2_a;Q_K_a;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen;
7632;9132;Adelzhausen (W);9;BY;A;8;;8+1;München;AS Adelzhausen;O;Augsburg;AS Dasing;W;6;320;83.836;41.829;42.007;11.795;5.779;6.016;14,1;1,00;0,85;1,08;4.653;12,7;1.173;25,2;;;;;D;D;84,2;3,5;0,3;1,2;3,0;10,7;8,2;0,5;0,5;655.405;5.359.858;;;;;87.698;44.024;43.674;18,1;17,6;18,5;48,37274180;11,09851116;3.677;4.039;8,8;9,6;12,4;7,8;8,7;5,0;8,4;9,2;44.549;44.504;0,83;0,86;0,92;0,97;1,08;1,08;0,82;0,83;4.028;148;442;14;864;63;232;6;3.349;87;260;10;530;7632001O7632008O;3,292;Ri1_ist_NachNK;- in Bearbeitung -;
7531;9962;Augsburg-Ost;9;BY;A;8;;8+1;München;AS Friedberg;O;Augsburg;AS Augsburg-Ost;W;6;289;99.919;49.872;50.047;14.576;7.252;7.324;14,6;0,98;0,79;1,08;5.586;13,3;1.318;25,9;;;;;D;D;82,8;8,2;0,8;1,3;3,6;10,6;8,1;0,4;1,3;643.445;5.363.335;;;;;106.683;53.521;53.161;18,5;18,4;18,7;48,40683488;10,93829629;4.319;4.582;8,7;9,2;10,5;9,3;7,5;6,2;8,1;8,6;54.035;53.936;0,78;0,80;0,94;0,98;1,10;1,07;0,81;0,81;4.733;212;528;42;948;77;264;9;3.812;111;292;34;510;7531022O7531048O;1,383;Ri1_ist_NachNK;- in Bearbeitung -;
7531;9963;Augsburg-West;9;BY;A;8;;8+1;München;AS Augsburg-Ost;O;Augsburg;AS Augsburg-West;W;6;305;110.803;55.410;55.393;16.228;7.967;8.261;14,6;0,98;0,74;1,08;6.209;13,4;1.432;25,6;;;;;D;D;82,0;7,7;1,5;1,2;4,3;10,0;7,4;0,4;2,1;639.239;5.364.065;;;;;119.669;60.235;59.434;18,4;18,0;18,8;48,41434786;10,88174857;4.925;5.160;8,9;9,3;13,2;11,5;8,8;7,1;8,2;8,7;60.759;60.220;0,73;0,76;0,94;0,98;1,09;1,08;0,79;0,80;5.152;277;554;95;1.013;92;275;22;4.074;133;293;83;500;7531027O7531022O;0,740;Ri1_ist_NachNK;- in Bearbeitung -;
7531;9131;Augsburg-West (W);9;BY;A;8;;8+1;Augsburg;AS Augsburg-West;O;Ulm;AS Neusäß;W;6;323;81.521;40.612;40.909;11.525;5.692;5.832;14,1;0,99;0,82;1,09;4.560;12,5;1.070;27,7;;;;;D;D;84,4;8,7;0,5;1,5;2,5;11,2;8,9;0,5;0,0;637.323;5.364.155;;;;;85.899;43.036;42.863;18,3;18,0;18,6;48,41557496;10,85590000;3.768;3.924;9,3;9,6;14,9;8,5;11,9;6,6;8,8;9,2;43.786;44.060;0,81;0,84;0,94;0,98;1,11;1,08;0,81;0,81;3.966;124;449;22;770;50;246;4;3.148;63;257;15;490;7531042O7531027O;1,264;Ri1_ist_NachNK;- in Bearbeitung -;
8243;9032;Bad Reichenhall (O);9;BY;A;8;;8+1;Salzburg (A);GÜG Bad Reichenhall-Autobahn;O;Rosenheim;AS Bad Reichenhall;W;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;795.259;5.298.076;;;;;;;;;;;47,76833120;12,94081783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800;8243012O8243003O;0,545;Ri1_ist_NachNK;- in Bearbeitung -;
7528;9012;Burgau (W);9;BY;A;8;;8+1;Augsburg;AS Burgau;O;Ulm;AS Günzburg;W;6;322;66.232;32.970;33.262;11.124;5.486;5.638;16,8;1,03;0,93;1,12;3.682;14,8;915;33,1;;;;;D;C;81,7;8,5;0,4;1,6;2,4;13,9;11,0;0,5;0,0;602.186;5.364.691;;;;;67.454;33.821;33.633;22,4;22,0;22,8;48,42707488;10,38132510;3.152;3.217;9,6;9,7;8,9;1,8;7,0;0,6;9,3;9,6;33.925;34.228;0,91;0,95;0,90;0,97;1,14;1,10;0,86;0,85;3.122;97;446;16;609;45;258;3;2.566;59;263;12;450;7527235O7528037O;6,934;Ri1_ist_NachNK;- in Bearbeitung -;
7734;9772;Dachau/FFB (O);9;BY;A;8;;8+1;München;AD Dreieck München-Eschenried (A99);O;Augsburg;AS Dachau/Fürstenfeldbruck;W;6;340;107.317;53.399;53.918;12.265;5.998;6.267;11,4;0,98;0,73;1,08;5.969;10,4;1.476;19,9;;;;;D;D;84,7;7,0;0,5;1,4;2,8;8,1;6,3;0,6;2,5;676.006;5.343.565;;;;;115.290;57.372;57.918;14,3;14,1;14,6;48,22087749;11,36967348;5.452;5.157;10,2;9,6;11,3;7,7;7,4;5,5;9,5;8,9;57.780;59.198;0,70;0,75;0,94;0,97;1,09;1,07;0,72;0,78;5.178;186;433;28;1.135;72;223;5;4.237;95;248;22;590;7734015O7734037O;2,100;Ri1_ist_NachNK;- in Bearbeitung -;
7531;9961;Derching;9;BY;A;8;;8+1;München;AS Dasing;O;Augsburg;AS Friedberg;W;6;264;91.500;45.365;46.135;13.620;6.752;6.868;14,9;0,99;0,81;1,08;5.099;13,5;1.240;26,5;;;;;C;D;83,3;4,3;0,3;1,2;3,2;11,2;8,6;0,4;0,6;646.409;5.362.830;;;;;96.922;48.300;48.622;19,0;18,9;19,2;48,40161311;10,97814716;3.939;4.253;8,7;9,2;9,3;7,6;6,8;5,1;8,2;8,7;48.745;49.625;0,79;0,82;0,93;0,98;1,09;1,06;0,81;0,80;4.366;175;512;17;898;68;261;4;3.576;97;289;11;520;7531048O7632001O;1,770;Ri1_ist_NachNK;- in Bearbeitung -;
8140;9028;Felden (O);9;BY;A;8;;8+1;Salzburg (A);AS Übersee;O;Rosenheim;AS Felden;W;4;305;59.875;30.040;29.835;7.380;3.656;3.724;12,3;1,20;1,08;1,18;3.298;11,2;889;20,4;;;;;D;D;83,9;6,0;0,4;2,2;2,9;8,7;7,2;0,7;1,5;753.623;5.303.234;;;;;56.222;28.950;27.272;17,3;16,4;18,2;47,83238554;12,38920804;2.943;2.968;9,8;9,9;6,4;2,0;3,9;0,5;10,2;10,9;27.582;26.773;0,95;1,21;0,91;1,12;1,27;1,08;1,01;0,99;2.865;112;258;14;685;46;136;4;2.193;77;169;10;730;8140013O8140012O;0,744;Ri1_ist_NachNK;- in Bearbeitung -;
8139;9026;Frasdorf (O);9;BY;A;8;;8+1;Salzburg (A);AS Bernau;O;Rosenheim;AS Frasdorf;W;4;274;63.447;31.511;31.936;6.966;3.177;3.789;11,0;1,18;1,07;1,16;3.501;10,0;928;18,5;;;;;D;D;84,8;8,4;0,4;2,4;2,2;8,0;6,2;0,8;1,8;747.166;5.299.739;;;;;59.909;30.548;29.361;15,4;13,6;17,1;47,80350472;12,30107944;2.984;3.110;9,5;9,7;4,7;2,3;3,3;0,6;9,8;10,6;29.340;28.826;0,94;1,19;0,92;1,09;1,25;1,07;1,01;0,98;3.076;98;251;14;730;40;132;7;2.352;64;166;11;720;8139012O8140014O;0,721;Ri1_ist_NachNK;- in Bearbeitung -;
